21.0,21.771617889404297,0.25918944392082943,0.252400548696845,0.16462167689161555,0.15217391304347827,0.058823529411764705,0.16888519134775373,0.1717557251908397,0.18313953488372092,0.420545746388443,0.22818428184281841,0.275,0.184,0.322,0.028,0.004,0.406,0.135,0.063,0.262,0.421
26.96,20.232712507247925,0.32504548211036993,0.29341963322545844,0.27759197324414714,0.17613636363636365,0.21151586368977673,0.2462787550744249,0.25379037574159524,0.18702290076335878,0.4155972359328727,0.2292447777182646,0.536,0.272,0.083,0.062,0.18,0.182,0.385,0.147,0.421,0.428
28.2,19.66084611415863,0.3006438831104507,0.2822865208186309,0.26136363636363635,0.22167487684729065,0.375,0.2657563025210084,0.2775330396475771,0.21163490471414242,0.43308080808080807,0.25682382133995035,0.607,0.4,0.046,0.09,0.015,0.253,0.441,0.211,0.343,0.414
29.79,19.25897705554962,0.3315758640890451,0.3547400611620795,0.20297029702970298,0.21946564885496184,0.3548387096774194,0.2938443670150987,0.2624338624338624,0.27890173410404623,0.4017316017316017,0.26498002663115844,0.566,0.232,0.041,0.115,0.022,0.253,0.496,0.193,0.464,0.597
31.4,18.821767568588257,0.3487789605510332,0.3540772532188841,0.2691358024691358,0.24948453608247423,0.32710280373831774,0.32855436081242534,0.28608082103912763,0.2898550724637681,0.41575274177467597,0.26561731431382196,0.557,0.33,0.109,0.121,0.105,0.275,0.446,0.24,0.417,0.54
32.29,18.699331283569336,0.35185185185185186,0.3374485596707819,0.2913907284768212,0.22145328719723184,0.4222222222222222,0.30565371024734983,0.34579439252336447,0.3109339407744875,0.40751173708920185,0.26802807913209953,0.57,0.492,0.176,0.128,0.057,0.346,0.333,0.273,0.434,0.42
33.78,18.368126392364502,0.36760752688172044,0.3418332184700207,0.32,0.22030981067125646,0.4311111111111111,0.31488698363211226,0.3341194968553459,0.3730407523510972,0.41875505254648343,0.2806666666666667,0.547,0.496,0.104,0.128,0.097,0.404,0.425,0.238,0.518,0.421
33.92,18.217635989189148,0.3716216216216216,0.3426791277258567,0.2838983050847458,0.2593619972260749,0.34834123222748814,0.3492605233219568,0.3832923832923833,0.30526315789473685,0.4380434782608696,0.29347123464770525,0.55,0.55,0.134,0.187,0.147,0.307,0.312,0.348,0.403,0.454
34.5,18.02184236049652,0.34885164494103044,0.3960975609756098,0.26199261992619927,0.27116212338593976,0.3613595706618962,0.34650112866817157,0.3793490460157127,0.3211864406779661,0.3792603335750544,0.3151232511658894,0.562,0.406,0.071,0.189,0.202,0.307,0.338,0.379,0.523,0.473
36.52,17.735331535339355,0.3843951324266285,0.3797079169869331,0.3267605633802817,0.2879858657243816,0.4075829383886256,0.36462450592885376,0.3605497170573969,0.380065717415115,0.43115318416523235,0.3100917431192661,0.537,0.494,0.116,0.163,0.172,0.369,0.446,0.347,0.501,0.507
36.47,17.713789224624634,0.42939481268011526,0.38550135501355015,0.28993288590604027,0.2811296534017972,0.35714285714285715,0.3669724770642202,0.3758116883116883,0.37362637362637363,0.43938223938223936,0.3031645569620253,0.447,0.569,0.216,0.219,0.025,0.32,0.463,0.34,0.569,0.479
37.06,17.563910245895386,0.3976653696498054,0.3480603448275862,0.3253588516746411,0.2760942760942761,0.38461538461538464,0.3962765957446808,0.40625,0.39285714285714285,0.43683781581092096,0.31985294117647056,0.511,0.646,0.136,0.246,0.195,0.298,0.416,0.374,0.536,0.348
38.03,17.270623326301575,0.3832214765100671,0.4038876889848812,0.3341772151898734,0.29004854368932037,0.39069767441860465,0.3911392405063291,0.3717008797653959,0.38676607642124883,0.4428969359331476,0.363013698630137,0.571,0.561,0.132,0.239,0.168,0.309,0.507,0.415,0.477,0.424
38.69,17.19574546813965,0.4025974025974026,0.4303242769500438,0.3559322033898305,0.3022636484687084,0.37142857142857144,0.35902255639097747,0.386654478976234,0.4489795918367347,0.4568744662681469,0.33035714285714285,0.558,0.491,0.084,0.227,0.299,0.382,0.423,0.352,0.535,0.518
38.33,17.211634159088135,0.3963768115942029,0.4107142857142857,0.3413333333333333,0.2774922918807811,0.38330170777988615,0.3685393258426966,0.3923145665773012,0.43534994068801897,0.44305772230889234,0.33773740710156896,0.547,0.575,0.128,0.27,0.202,0.328,0.439,0.367,0.568,0.409
39.12,17.049208521842957,0.42769500438212094,0.42668863261943984,0.3821428571428571,0.30339539978094193,0.375,0.375736160188457,0.4110371075166508,0.40607734806629836,0.4198174706649283,0.3469387755102041,0.488,0.518,0.107,0.277,0.21,0.319,0.432,0.441,0.644,0.476
38.51,17.175273776054382,0.42725752508361203,0.4022222222222222,0.327313769751693,0.2850678733031674,0.4252199413489736,0.34445446348061315,0.4088888888888889,0.41759352881698686,0.4245416078984485,0.3374816983894583,0.511,0.543,0.145,0.189,0.145,0.382,0.46,0.413,0.602,0.461
39.65,16.88253355026245,0.41950113378684806,0.4341880341880342,0.3467889908256881,0.31746031746031744,0.39950980392156865,0.38235294117647056,0.39209486166007906,0.4230769230769231,0.45023696682464454,0.35285714285714287,0.555,0.508,0.189,0.26,0.163,0.312,0.496,0.418,0.57,0.494
39.79,16.816744804382324,0.44242424242424244,0.3976499690785405,0.37270341207349084,0.2880698351115422,0.4235294117647059,0.3721198156682028,0.4032534246575342,0.44232804232804235,0.4477172312223859,0.3669201520912547,0.511,0.643,0.142,0.297,0.18,0.323,0.471,0.418,0.608,0.386
40.06,16.7787047624588,0.41660489251297256,0.4309838472834068,0.3595505617977528,0.2822240943555181,0.43705463182897863,0.36254107338444685,0.4542168674698795,0.4020979020979021,0.4804421768707483,0.3793691389599318,0.562,0.587,0.16,0.335,0.184,0.331,0.377,0.46,0.565,0.445
39.95,16.63627529144287,0.4369256474519632,0.44571428571428573,0.345679012345679,0.287515762925599,0.4091858037578288,0.33557046979865773,0.42066420664206644,0.42424242424242425,0.4787322768974145,0.35309278350515466,0.523,0.546,0.14,0.228,0.196,0.35,0.456,0.434,0.574,0.548
40.65,16.584217309951782,0.4313874147081122,0.42827298050139273,0.33811475409836067,0.29094608341810785,0.4568245125348189,0.3660205245153934,0.4349477682811016,0.4121160409556314,0.4877222692633362,0.37809187279151946,0.569,0.615,0.165,0.286,0.164,0.321,0.458,0.483,0.576,0.428
40.83,16.63405132293701,0.41403508771929826,0.45612582781456956,0.35805626598465473,0.3049040511727079,0.3870967741935484,0.36253776435045315,0.4444444444444444,0.4281496062992126,0.5096241979835013,0.36707988980716255,0.59,0.551,0.14,0.286,0.192,0.36,0.44,0.435,0.556,0.533
41.01,16.48496687412262,0.42845786963434024,0.4826048171275647,0.3579175704989154,0.31151832460732987,0.438953488372093,0.3521000893655049,0.4225865209471767,0.41702867072111205,0.4793650793650794,0.3686797752808989,0.539,0.541,0.165,0.238,0.151,0.394,0.464,0.48,0.604,0.525
41.29,16.435803651809692,0.42945258288357746,0.44541484716157204,0.3802197802197802,0.3017241379310345,0.42736842105263156,0.36429308565531476,0.42477064220183486,0.4646878198567042,0.4646697388632873,0.38741396263520156,0.557,0.612,0.173,0.315,0.203,0.353,0.463,0.454,0.605,0.394
41.21,16.424599409103394,0.43673469387755104,0.46614173228346456,0.3542039355992844,0.3003337041156841,0.45938375350140054,0.34531693472090824,0.4288337924701561,0.46502057613168724,0.4549929676511955,0.37478260869565216,0.535,0.592,0.198,0.27,0.164,0.365,0.467,0.452,0.647,0.431
41.82,16.245593905448914,0.42888086642599277,0.4754653130287648,0.3869209809264305,0.29132947976878615,0.40553745928338764,0.34551495016611294,0.4315886134067952,0.4454463480613165,0.48776508972267535,0.42231491136600624,0.594,0.562,0.142,0.252,0.249,0.416,0.47,0.494,0.598,0.405
41.48,16.349709510803223,0.41371994342291374,0.44941176470588234,0.3422562141491396,0.32444959443800697,0.43909348441926344,0.3709677419354839,0.4430970149253731,0.4420866489832007,0.481651376146789,0.376657824933687,0.585,0.573,0.179,0.28,0.155,0.345,0.475,0.5,0.63,0.426
41.87,16.149417281150818,0.4288840262582057,0.5104895104895105,0.3438485804416404,0.3055555555555556,0.4523809523809524,0.33590402742073694,0.4109386548410939,0.4763374485596708,0.49032258064516127,0.3853658536585366,0.588,0.511,0.218,0.187,0.19,0.392,0.556,0.463,0.608,0.474
41.99,16.19489097595215,0.4613423959218352,0.4694508894044857,0.39588688946015427,0.3106145251396648,0.42824074074074076,0.36036036036036034,0.42732811140121846,0.43211920529801323,0.4669090909090909,0.38274706867671693,0.543,0.607,0.154,0.278,0.185,0.32,0.491,0.522,0.642,0.457
42.9,16.033339142799377,0.47692307692307695,0.4837430610626487,0.40097799511002447,0.2949117341640706,0.45067264573991034,0.36408730158730157,0.4075471698113208,0.4789579158316633,0.4917776037588097,0.4064569536423841,0.527,0.61,0.164,0.284,0.201,0.367,0.54,0.478,0.628,0.491
42.42,16.111427545547485,0.4738675958188153,0.45391061452513964,0.39260969976905313,0.2955911823647295,0.4410958904109589,0.3702928870292887,0.4408310749774164,0.41830065359477125,0.5252883762200532,0.3933884297520661,0.544,0.65,0.17,0.295,0.161,0.354,0.488,0.512,0.592,0.476
42.7,16.011971592903137,0.4927404718693285,0.4812554489973845,0.3655705996131528,0.3010989010989011,0.4535211267605634,0.3758241758241758,0.4255492270138324,0.42451420029895365,0.49435483870967745,0.4033546325878594,0.543,0.552,0.189,0.274,0.161,0.342,0.523,0.568,0.613,0.505
42.77,16.043771028518677,0.4719585849870578,0.4507845934379458,0.3801980198019802,0.32,0.4456824512534819,0.38294993234100133,0.43265993265993263,0.4444444444444444,0.46552949538024163,0.4376321353065539,0.547,0.632,0.192,0.36,0.16,0.283,0.514,0.52,0.655,0.414
